text,label,processed
Not 12 hours after my sister-in-law installed that new @DionoUSA seat we bought her she was rear-ended! everyone's fine but seat is trash :(,0,NOT 12 hours after my sister-in-law installed that new ||T|| seat we bought her she was rear-ended! everyone's fine but seat is trash ||N||
@DaShawnBullfrog @PapaHogieBear I just got here :( come!!!',0,||T|| ||T|| I just got here ||N|| come!!!'
"Hi I'm Madison, I'm 13 not supposed to have twitter, but this is for my family :) @RyanSeacrest #BeOnKnockKnock http://t.co/8DBynqLZKw",1,"Hi I'm Madison, I'm 13 NOT supposed to have twitter, but this is for my family ||P|| ||T|| #BeOnKnockKnock ||U||"
@glitchim Online :),1,||T|| Online ||P||
i’m so sad i want my hair colour back now :(,0,i’m so sad i want my hair colour back now ||N||
I'll so busy with school :((,0,I'll so busy with school ||N|| (
"Sorry guys, no new video this week! :(",0,"Sorry guys, NOT new video this week! ||N||"
i miss you to death :(( @SMtajanlangit http://t.co/7Hal7PTTAN,0,i miss you to death ||N|| ( ||T|| ||U||
Project I want to enter into #PitchWars may not work. :( Only first chap? Mine's a phone call transcript. #ugh,0,Project I want to enter into #PitchWars may NOT work. ||N|| Only first chap? Mine's a phone call transcript. #ugh
My SNAPCHAT - AbbyMill18 #snapchat #snapchatme #wet #sex #sexy #indiemusic #hotels :( http://t.co/4iBT7zCjZH,0,My SNAPCHAT - AbbyMill18 #snapchat #snapchatme #wet #sex #sexy #indiemusic #hotels ||N|| ||U||
@HeelSimba :( well let me know on the day if after work you feel like socialising and I will make time for you!,0,||T|| ||N|| well let me know on the day if after work you feel like socialising and I will make time for you!
"@Razzmuna Not great, but way better than last night. Tonight's shift at work will hopefully be better - and shorter. Thanks for tweetin'! :)",1,"||T|| NOT great, but way better than last night. Tonight's shift at work will hopefully be better - and shorter. Thanks for tweetin'! ||P||"
"I love @NabilahJKT48 ,Problem? :)
#NgarepFollbackDariNabilahJKT48",1,"I love ||T|| ,Problem? ||P|| #NgarepFollbackDariNabilahJKT48"
@rachelmoonyy theres about 5 more hours till im prob gonna fall asleep :),1,||T|| theres about 5 more hours till im prob gonna fall asleep ||P||
Here if you want the full thing @SoaRJect :) https://t.co/Rgw0QCJ0Mo,1,Here if you want the full thing ||T|| ||P|| ||U||
@Emeraldere You're going to die. I'm sorry :(,0,||T|| You're going to die. I'm sorry ||N||
Cute :( https://t.co/fAaZxMaG3u,0,Cute ||N|| ||U||
@CodyLatimerAunt i will :-),1,||T|| i will ||P||
"@carli_buns thank u :) being happy, who knew?!",1,"||T|| thank u ||P|| being happy, who knew?!"
@ryan2390 ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! :-),1,||T|| ever since I mentioned fly fishing the other day I'm getting follows and promoted posts about it lol cyber stalked! ||P||
"Hi, imiss you :(",0,"Hi, imiss you ||N||"
ribs :),1,ribs ||P||
I acc can't look at it :(,0,I acc NOT look at it ||N||
@HendersJuliet where has the sun gone?? :(,0,||T|| where has the sun gone?? ||N||
"@ajm9890 
Thakyou sir :)",1,||T|| Thakyou sir ||P||
"hi! @sisoment to enter, purchase a specially-marked First Choice Custard pack &amp; enter via SMS through on-pack instructions :) good luck!",1,"hi! ||T|| to enter, purchase a specially-marked First Choice Custard pack &amp; enter via SMS through on-pack instructions ||P|| good luck!"
none of my friends came :(,0,none of my friends came ||N||
Thanks for the follows @rosbailey2_ros @CircuitElec :),1,Thanks for the follows ||T|| ||T|| ||P||
@plasmov Love your author pic on the MWF programme! You're going to rock it :),1,||T|| Love your author pic on the MWF programme! You're going to rock it ||P||
"♛♛♛
》》》》 
I LOVE YOU SO MUCH.
I BELİEVE THAT HE WİLL FOLLOW.
PLEASE FOLLOW ME PLEASE JUSTİN @justinbieber :( x15.330
》》》》ＳＥＥ ＭＥ
♛♛♛",0,♛♛♛ 》》》 I LOVE YOU SO MUCH. I BELİEVE THAT HE WİLL FOLLOW. PLEASE FOLLOW ME PLEASE JUSTİN ||T|| ||N|| x15.330 》》》ＳＥＥ ＭＥ ♛♛♛
@ohanakian @KianLawley i hope he is okay :(,0,||T|| ||T|| i hope he is okay ||N||
@Jenna_Marbles I wish I could've met you :(,0,||T|| I wish I could've met you ||N||
@Charliescoco @reeceftcharliie @SimonCowell too late :(,0,||T|| ||T|| ||T|| too late ||N||
"@kindofstrange @ohyoufox Jeeze Tara move on, it's about #TeamCannibal vs #TeamSpaceWhalingIsTheBest now :p",1,"||T|| ||T|| Jeeze Tara move on, it's about #TeamCannibal vs #TeamSpaceWhalingIsTheBest now :p"
my left ear is swelling :(,0,my left ear is swelling ||N||
On this one constructive criticism welcomed :) #ganesha #texture #photography #art #hinduism #hindugod #elephantgod http://t.co/QFhF2zUKib,1,On this one constructive criticism welcomed ||P|| #ganesha #texture #photography #art #hinduism #hindugod #elephantgod ||U||
Your smile makes me smile :).,1,Your smile makes me smile ||P|| .
when can sch get better........ :-(,0,when can sch get better... ||N||
I will never be listening to The Hills every again :-),1,I will NOT be listening to The Hills every again ||P||
"@SimonVictor87 Aww cheers bud. Yeah would have been good to see everyone, hope you are well :) x",1,"||T|| Aww cheers bud. Yeah would have been good to see everyone, hope you are well ||P|| x"
Oh my god :(,0,Oh my god ||N||
"So, the enemies can simply go around it!:-) https://t.co/5pL57HsT53",1,"So, the enemies can simply go around it! ||P|| ||U||"
@IamMansoorKhan I hate it when u are offline :(,0,||T|| I hate it when u are offline ||N||
@bjj1212 Great to hear! Let us know which recipe you enjoy the most :),1,||T|| Great to hear! Let us know which recipe you enjoy the most ||P||
11:11 meet michael and hug him so tight and talk to him and tell him he's important and that I love him so much and make him smile :D,1,11:11 meet michael and hug him so tight and talk to him and tell him he's important and that I love him so much and make him smile ||ExP||
@ayoo_gerry i miss you :-(,0,||T|| i miss you ||N||
Two hours and still no where near M4 - trip to @roalddahlmuseum abandoned.  :-(,0,Two hours and still NOT where near M4 - trip to ||T|| abandoned. ||N||
@MrsManfyDiston Thanks for following! Do get in touch if you'd like any more info about our project: youth@bipolaruk.org.uk :),1,||T|| Thanks for following! Do get in touch if you'd like any more info about our project: youth||T||.org.uk ||P||
@1ResilientSoul enjoy :),1,||T|| enjoy ||P||
oh that actually made me sad lol :(((,0,oh that actually made me sad lol ||N|| ((
Think I'm going to have some sort of breakdown! @JackWhiteMedia's 2013 Disney Vlog has been taken down again! :-( it's my favourite one! :-(,0,Think I'm going to have some sort of breakdown! ||T||'s 2013 Disney Vlog has been taken down again! ||N|| it's my favourite one! ||N||
Sometimes the most ordinary things can be made extraordinary by doing them with the right people :),1,Sometimes the most ordinary things can be made extraordinary by doing them with the right people ||P||
My KIK : oulive70748 #kik #kikmenow #photo #babe #loveofmylife #brasileirao #viernesderolenahot :( http://t.co/GmmwD4PrhU,0,My KIK : oulive70748 #kik #kikmenow #photo #babe #loveofmylife #brasileirao #viernesderolenahot ||N|| ||U||
The Flash... All day long :),1,The Flash... All day long ||P||
@APluckyHeroine @Mrsnige no. They have to weigh up risks. Premiums will go up. :( A lot of money.1 reason I'm not that keen on getting a dog,0,||T|| ||T|| no. They have to weigh up risks. Premiums will go up. ||N|| A lot of money.1 reason I'm NOT that keen on getting a dog
@OscarTrue89 no sorry I'm fully booked :-( xx,0,||T|| NOT sorry I'm fully booked ||N|| xx
i want cebu lechon :(,0,i want cebu lechon ||N||
http://t.co/GYecoPRjXm bring you :) Boatbound Brings Luxury Yachting To The Masses - http://t.co/QaIPTxrUKm #tech /via @BuzzFeed,1,||U|| bring you ||P|| Boatbound Brings Luxury Yachting To The Masses - ||U|| #tech /via ||T||
@UrsulaWJ @OwenWinterMYP I'm not able to go! :( It's the Association of Green Councillors conference this weekend...,0,||T|| ||T|| I'm NOT able to go! ||N|| It's the Association of Green Councillors conference this weekend...
"What a good read :) 

http://t.co/5UWZh015eo",1,What a good read ||P|| ||U||
@tangerinebean Has A got out of bed yet? :-),1,||T|| Has A got out of bed yet? ||P||
"@Raheelk We wish you a pleasant time on-board, Raheel :) #FlyHigh",1,"||T|| We wish you a pleasant time on-board, Raheel ||P|| #FlyHigh"
@andrwedwrds stop cyber bullying me :-(,0,||T|| stop cyber bullying me ||N||
@Joey_Shreds say hi :),1,||T|| say hi ||P||
"Welcome to Kleper-452b!!  
:) https://t.co/KaTMAjqaTH",1,Welcome to Kleper-452b!! ||P|| ||U||
MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf,1,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot ||P|| ||U||
"don't cry hakhakhak :))""@ksdahyun: T_____________T https://t.co/KKbgfmYEgO""",1,"don't cry hakhakhak ||P|| )""||T||: T___T ||U||"
@denisegohemun it feels like ytd :((((((,0,||T|| it feels like ytd ||N|| (((
"@SimoneWarner ... he´s attacked, criticised for every gesture, word, pedal stroke. one must be attentive and notice little things :)",1,"||T|| ... he´s attacked, criticised for every gesture, word, pedal stroke. one must be attentive and notice little things ||P||"
"@ddddray yeah!!! :( It's okay, I'll see you again this time next year",0,"||T|| yeah!!! ||N|| It's okay, I'll see you again this time next year"
